keyword,volume,difficulty,cpc_gr,traffic_potential,informational,commercial,transactional,branded,local
basen,35000,10,20,16000,true,true,false,false,false
basen ogrodowy,26000,3,25,2700,true,true,false,false,false
basen stelażowy,11000,4,5,800,true,true,false,false,false
basen dla dzieci,11000,0,5,3900,true,true,false,false,false
basen z kulkami,7400,0,9,6600,true,true,true,false,false
basen dla psa,6500,0,5,3500,true,true,false,false,false
santiago basen,6100,12,4,34000,true,false,false,true,false
baseny,5700,12,20,18000,true,true,false,false,false
czepek na basen,5400,0,6,1100,true,true,true,false,false
basen bestway,5400,0,9,2400,true,true,false,true,false
basen kanadyjski,4900,0,15,3600,true,true,false,false,false
basen z kulkami dla dzieci,4600,0,8,5700,true,true,true,false,false
baseny tropikalne,4400,0,3,7900,true,false,false,true,true
mata pod basen,4000,0,3,200,true,false,false,false,false
baseny ogrodowe,4000,7,30,2000,true,true,false,false,false
klapki na basen,3400,0,10,1500,true,true,true,false,false
basen ogrodowy stelażowy,3200,3,5,4600,true,true,true,false,false
warszawianka basen,3000,1,3,3200,true,false,false,false,false
basen rozporowy,2900,0,4,1900,true,true,false,false,false
baseny termalne,2800,57,15,2400,true,false,false,false,false
basen prostokątny,2800,0,10,1000,true,true,false,false,false
basen stelażowy prostokątny,2800,0,3,1700,true,true,true,false,false
torba na basen,2500,0,7,700,true,true,true,false,false
basen warszawa,2500,1,8,1100,true,false,false,false,true
moczydło basen,2400,1,25,4500,true,false,false,false,true
basen dmuchany,2300,0,6,600,true,true,false,false,false
basen zadole,2200,0,20,800,true,false,false,false,true
basen brynów,2200,0,15,1500,true,false,false,false,true
basen na stelażu,2200,3,3,4600,true,true,true,false,false
basen wrocław,2100,8,1,37000,true,false,false,false,true
basen warszawianka,2100,0,5,3200,true,false,false,true,false
basen ogrodowy wyprzedaż,2000,0,8,600,true,true,true,false,false
bestway basen,1900,0,10,2500,true,true,false,true,false
santiago baseny,1800,15,3,34000,true,false,false,true,false
basen ogrodowy duży,1800,0,10,800,true,true,true,false,false
basen kolbudy,1800,0,60,700,true,false,false,false,true
baseny dla dzieci,1700,0,5,3400,true,true,false,false,false
binkowski basen,1700,0,2,6900,true,false,false,true,false
baseny tropikalne kielce,1700,0,2,8100,true,false,false,true,true
podkład pod basen,1700,0,3,450,true,false,false,false,false
basen dmuchany dla dzieci,1700,0,5,300,true,true,false,false,false
hajduszoboszlo baseny,1600,0,15,1700,true,false,false,false,true
basen zakrzów,1500,1,1,2800,true,false,false,false,true
kąpielówki męskie na basen,1500,0,10,700,true,true,false,false,false
basen action,1400,0,15,1000,true,true,false,true,false
binkowski baseny,1400,0,2,7100,true,true,false,true,false
baseny inflancka,1400,0,15,3000,true,false,false,false,true
orbita basen,1400,0,6,5500,true,false,false,true,true
suchy basen z kulkami,1400,0,9,8300,true,true,false,false,false
basen orbita,1300,0,5,4800,true,false,false,false,true
