cluster_id,cluster_name,central_entity,canonical_query,keywords_count
0,International SEO — język angielski i content,Content lokalizacja SEO,international SEO,48
1,Strategia i uzasadnienie SEO zagranicznego,Strategia SEO zagranicznego,pozycjonowanie zagraniczne,89
2,Techniczna optymalizacja i struktura domeny,Techniczna optymalizacja SEO,techniczna optymalizacja seo zagranicznego,100
3,SEO a inne kanały marketingowe,SEO vs performance marketing zagranicznie,seo vs google ads zagranicznie,28
4,Agencja SEO zagraniczna — wybór i ceny,Agencja SEO zagraniczna,pozycjonowanie zagraniczne agencja,28
5,On-page SEO i content dla rynków zagranicznych,Content SEO zagraniczne,content seo zagraniczne,37
6,Ruch organiczny z konkretnych rynków,Ruch organiczny z zagranicy,ruch organiczny z niemiec,3
7,Hreflang — implementacja i konfiguracja,Hreflang,hreflang implementacja,7
8,Keyword research na rynki zagraniczne,Keyword research zagraniczne,keyword research zagraniczne,10
9,SEO e-commerce zagraniczne,SEO e-commerce zagraniczne,seo e-commerce zagraniczne,22
