keyword,volume,difficulty,cpc,traffic_potential,parent_topic
baseny,5700,12,20,18000,basen
baseny ogrodowe,4000,12,30,1400,baseny ogrodowe
baseny dla dzieci,1700,0,5,3400,basen dla dzieci
baseny ogrodowe całoroczne,1300,3,35,600,baseny ogrodowe całoroczne
baseny bestway,400,5,9,2400,basen bestway
baseny stelażowe,400,1,8,4400,basen stelażowy
baseny ogrodowe castorama,400,0,3,2900,castorama baseny ogrodowe
najtańsze baseny ogrodowe,350,0,5,150,tanie baseny ogrodowe
obi baseny,350,0,4,1500,baseny ogrodowe obi
castorama baseny,350,0,5,3000,castorama baseny ogrodowe
baseny dla dzieci wyprzedaż,300,0,2,3300,basen dla dzieci
baseny przydomowe,300,12,20,18000,basen
baseny na stelażu,250,2,3,5300,basen stelażowy
baseny castorama,250,0,3,3100,castorama baseny ogrodowe
baseny ogrodowe leroy merlin,250,0,10,2300,leroy merlin baseny
action baseny,250,,,,
baseny dla psów,200,0,3,3500,basen dla psa
