cluster_id,cluster_name,central_entity,canonical_query,keywords_count
0,Zakup i dystrybucja,Punkt sprzedaży basenów,gdzie kupić basen ogrodowy,19
1,Konserwacja i utrzymanie,Utrzymanie basenu,jak utrzymać basen ogrodowy,49
2,Oferta handlowa,Oferta basenów,baseny ogrodowe sklep,101
3,Wymiary i specyfikacje,Wymiary basenu,baseny ogrodowe wymiary,55
4,Montaż stelażowych,Montaż basenu stelażowego,jak rozłożyć basen stelażowy,17
5,Baseny premium,Baseny wkopywane,baseny wkopywane,60
6,Marki i producenci,Marka basenu,baseny intex bestway,8
7,Koszty i ceny,Koszt basenu,ile kosztuje basen ogrodowy,14
8,Formalności i prawo,Wymogi prawne,czy basen ogrodowy wymaga pozwolenia,27
9,Poradniki wyboru,Wybór basenu,który basen ogrodowy wybrać,33
10,Baseny dmuchane,Basen dmuchany,baseny dmuchane,17
11,Akcesoria basenowe,Akcesoria do basenu,akcesoria do basenu,20
